jumps_resolved_static,jumps_resolved_contextual,jumps_resolved_dynamic,jumps_unresolved_static,jumps_unresolved_contextual,jumps_unresolved_dynamic,uaa_no_target,uaa_unbounded,uaa_nonsound,term_stop,term_timeout,term_queue_full,term_max_depth,term_subsumed,term_invalid_opcode,term_stack_underflow,term_stack_overflow,term_stack_out_of_bound,term_op_error,uaa_total
37,0,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
154,0,7,0,0,4,0,0,4,140,0,0,0,19,4,0,0,0,0,4
756,0,0,0,0,8,0,0,8,525,0,0,0,133,90,0,0,0,0,8
42,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,1,0,0,1,197,0,0,0,34,3,0,0,0,0,1
225,0,0,0,0,1,0,0,1,182,0,0,0,38,3,0,0,0,0,1
354,0,7,0,0,7,0,0,7,306,0,0,0,34,28,0,0,0,0,7
266,0,0,0,0,4,0,0,4,232,0,0,0,11,28,0,0,0,0,4
926,0,0,0,0,10,0,0,10,493,0,0,0,226,210,0,0,0,0,10
370,0,0,0,0,6,0,0,6,277,0,0,0,53,45,0,0,0,0,6
400,0,0,0,0,3,0,0,3,227,0,0,0,155,13,0,0,0,0,3
402,0,0,0,0,4,0,0,4,377,0,0,0,24,4,0,0,0,0,4
114,0,0,0,0,0,0,0,0,80,0,0,0,32,1,0,0,0,0,0
103,0,0,0,0,0,0,0,0,85,0,0,0,11,8,0,0,0,0,0
1163,0,0,0,0,12,0,0,12,914,0,0,0,189,36,0,0,0,0,12
299,0,0,0,0,7,0,0,7,259,0,0,0,34,7,0,0,0,0,7
154,0,0,0,0,1,0,0,1,116,0,0,0,27,8,0,0,0,0,1
487,0,0,0,0,2,0,0,2,345,0,0,0,45,68,0,0,0,0,2
114,0,0,0,0,2,0,0,2,108,0,0,0,1,7,0,0,0,0,2
45,0,0,0,0,1,0,0,1,44,0,0,0,1,1,0,0,0,0,1
85,0,0,0,0,0,0,0,0,84,0,0,0,1,0,0,0,0,0,0
460,0,0,0,0,19,0,0,19,393,0,0,0,47,8,0,0,0,0,19
331,0,0,0,0,2,0,0,2,317,0,0,0,8,4,0,0,0,0,2
202,0,0,0,0,0,0,0,0,164,0,0,0,33,0,0,0,0,0,0
781,0,0,0,0,0,0,0,0,575,0,0,0,59,137,0,0,0,0,0
221,0,0,0,0,1,0,0,1,181,0,0,0,34,3,0,0,0,0,1
102,0,0,0,0,0,0,0,0,82,0,0,0,13,3,0,0,0,0,0
172,0,0,0,0,3,0,0,3,144,0,0,0,25,5,0,0,0,0,3
568,0,0,0,0,6,0,0,6,466,0,0,0,56,43,0,0,0,0,6
157,0,9,0,0,4,0,0,4,144,0,0,0,20,4,0,0,0,0,4
165,0,5,0,0,5,0,0,5,140,0,0,0,28,5,0,0,0,0,5
701,0,0,0,0,3,0,0,3,451,0,0,0,151,91,0,0,0,0,3
415,0,0,0,0,0,0,0,0,260,0,0,0,104,33,0,0,0,0,0
1112,0,34,0,0,7,0,0,7,855,0,0,0,243,19,0,0,0,0,7
466,0,11,0,0,4,0,0,4,376,0,0,0,70,32,1,0,0,0,4
171,0,0,0,0,0,0,0,0,136,0,0,0,32,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,113,0,0,0,55,16,0,0,0,0,0
180,0,0,0,0,1,0,0,1,113,0,0,0,33,17,0,0,0,0,1
262,0,0,0,0,0,0,0,0,220,0,0,0,13,25,0,0,0,0,0
53,0,0,0,0,0,0,0,0,52,0,0,0,1,0,0,0,0,0,0
899,0,39,0,0,14,0,0,14,630,0,0,0,221,81,0,0,0,0,14
214,0,0,0,0,3,0,0,3,149,0,0,0,12,53,0,0,0,0,3
122,0,0,0,0,1,0,0,1,120,0,0,0,2,1,0,0,0,0,1
242,0,13,0,0,6,0,0,6,200,0,0,0,41,12,0,0,0,0,6
154,0,0,0,0,5,0,0,5,121,0,0,0,32,7,0,0,0,0,5
530,0,0,0,0,8,0,0,8,473,0,0,0,48,8,0,0,0,0,8
139,0,10,0,0,6,0,0,6,130,0,0,0,17,6,0,0,0,0,6
195,0,20,0,0,3,0,0,3,207,0,0,0,5,4,0,0,0,0,3
213,0,0,0,0,0,0,0,0,172,0,0,0,26,5,0,0,0,0,0
211,0,1,0,0,3,0,0,3,194,0,0,0,19,3,0,0,0,0,3
285,0,12,0,0,2,0,0,2,253,0,0,0,29,14,0,0,0,1,2
952,0,0,0,0,9,0,0,9,598,0,0,0,265,78,0,0,0,0,9
152,0,9,0,0,5,0,0,5,134,0,0,0,18,15,0,0,0,0,5
224,0,0,0,0,2,0,0,2,189,0,0,0,34,2,0,0,0,0,2
106,0,0,0,0,0,0,0,0,94,0,0,0,10,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,0,29,2,0,0,0,0,0
1013,0,0,0,0,14,0,0,14,731,0,0,0,191,74,0,0,0,0,14
328,0,20,0,0,8,0,0,8,302,0,0,0,35,14,0,0,0,0,8
3,0,0,0,0,0,0,0,0,5,0,0,0,15,4,0,0,0,0,0
102,0,0,0,0,0,0,0,0,77,0,0,0,4,17,0,0,0,0,0
226,0,0,0,0,1,0,0,1,183,0,0,0,38,3,0,0,0,0,1
293,0,0,0,0,2,0,0,2,240,0,0,0,48,2,0,0,0,0,2
607,0,0,0,0,7,0,0,7,545,0,0,0,53,7,0,0,0,0,7
250,0,0,0,0,1,0,0,1,216,0,0,0,11,18,0,0,0,0,1
477,0,12,0,0,5,0,0,5,407,0,0,0,51,26,0,0,0,1,5
212,0,0,0,0,2,0,0,2,178,0,0,0,28,2,0,0,0,0,2
240,0,0,0,0,0,0,0,0,196,0,0,0,44,0,0,0,0,0,0
135,0,0,0,0,2,0,0,2,104,0,0,0,26,5,0,0,0,0,2
1213,0,0,0,0,19,0,0,19,975,0,0,0,187,34,0,0,0,0,19
687,0,0,0,0,17,0,0,17,383,0,0,0,182,126,0,0,0,0,17
170,0,0,0,0,2,0,0,2,139,0,0,0,26,2,0,0,0,0,2
399,0,12,0,0,3,0,0,3,341,0,0,0,57,3,0,0,0,0,3
255,0,0,0,0,17,0,0,17,177,0,0,0,39,56,0,0,0,0,17
146,0,0,0,0,0,0,0,0,142,0,0,0,0,3,0,0,0,0,0
9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,9,0,0,9,839,0,0,0,217,47,0,0,0,0,9
166,0,9,0,0,5,0,0,5,149,0,0,0,10,21,0,0,0,0,5
547,0,0,0,0,3,0,0,3,341,0,0,0,136,44,0,0,0,0,3
