sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x135c573503f70dc290b1d60fe2e7f7eb114febd6.evm_runtime,ok,106620,2110,99.05,false,,525,760,237,0.0028,6,142,1.45,1.45,227,62,1,1,0,true,0,525,525,100.00,44,0
Contract_0x13821c0129fb9e2cc16de2660783ff4e4861e92d.evm_runtime,ok,102144,1660,98.19,false,,77,112,37,0.0191,2,31,1.45,1.45,36,5,1,1,0,true,0,77,77,100.00,35,0
Contract_0x144cc6eb227ab439effcfa4eb19704ec41065af6.evm_runtime,ok,110552,1810,98.90,false,,237,334,99,0.0060,11,44,1.41,1.41,73,38,1,1,0,true,0,237,237,100.00,30,0
Contract_0x1457ef45c753e2675a409537250b66b3d0cadbad.evm_runtime,ok,103644,1840,99.46,false,,304,430,128,0.0047,15,81,1.41,1.41,101,17,1,1,0,true,0,304,304,100.00,18,0
Contract_0x14e21d305238768bcf07ea985def1b808f4620c9.evm_runtime,ok,156972,5140,99.61,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x14eba0b896047d61e0c745fddd1e3e07e82c5067.evm_runtime,ok,142608,5540,91.88,false,,1401,2043,644,0.0010,39,148,1.46,1.46,542,238,7,1,0,true,0,1360,1401,97.07,36,0
Contract_0x1637d405f61a6c6aa54d0a28fab85b7ea9e81932.evm_runtime,ok,122256,3250,99.38,false,,839,1200,363,0.0017,13,274,1.43,1.43,325,38,1,1,0,true,0,839,839,100.00,54,0
Contract_0x16924ae9c2ac6cdbc9d6bb16fafcd38bed560936.evm_runtime,ok,109996,2410,98.76,false,,371,508,139,0.0037,4,88,1.37,1.37,133,48,2,1,0,true,0,370,371,99.73,50,0
Contract_0x16cdd7dfaecd43409f72069bc46af309449f7403.evm_runtime,ok,103524,1740,98.85,false,,266,367,103,0.0052,5,67,1.38,1.38,95,28,1,1,0,true,0,266,266,100.00,29,0
Contract_0x1713ed16004ec8ecea1d26fd66edba625f12e031.evm_runtime,ok,108884,2090,99.04,false,,474,704,232,0.0031,17,99,1.49,1.49,194,71,1,1,0,true,0,474,474,100.00,26,0
Contract_0x179747c6812bf1dcd1b3486027595a98055da059.evm_runtime,ok,101620,2020,99.01,false,,83,115,34,0.0169,3,22,1.39,1.39,32,10,1,1,0,true,0,83,83,100.00,21,0
Contract_0x17Bcf59D273f7C58735ed80Ea001a69f80DF92fc.evm_runtime,ok,103384,1760,98.86,false,,236,340,106,0.0061,8,49,1.44,1.44,97,38,1,1,0,true,0,236,236,100.00,32,0
Contract_0x17c72d96a9071d58fb2fa02a174ac10e79ec6a54.evm_runtime,ok,105424,1980,98.99,false,,203,291,90,0.0071,5,40,1.43,1.43,77,24,1,1,0,true,0,203,203,100.00,15,0
Contract_0x180e0cfb1b74de8f99cef66ddf68959187908f4f.evm_runtime,ok,113956,2260,99.56,false,,575,758,185,0.0023,8,97,1.32,1.32,144,46,1,1,0,true,0,575,575,100.00,39,0
Contract_0x189cfa1e719ec7728d04e861a6cea077b5fad634.evm_runtime,ok,104080,1700,98.24,false,,227,327,102,0.0064,6,60,1.44,1.44,94,16,1,1,0,true,0,227,227,100.00,29,0
Contract_0x18d657832c75a9ac8bc5d15a129d5f23b04f8628.evm_runtime,ok,105172,1930,98.96,false,,415,599,186,0.0035,9,111,1.44,1.44,173,46,1,1,0,true,0,415,415,100.00,33,0
Contract_0x18fe2ed05b78fb98be7e232975529ade3ebefd57.evm_runtime,ok,101452,1550,99.35,false,,70,99,31,0.0205,2,26,1.41,1.41,30,6,1,1,0,true,0,70,70,100.00,24,0
Contract_0x191e2c947a37816a75c7db1d6d14dd9974583a6b.evm_runtime,ok,103612,1810,98.90,false,,225,316,93,0.0063,8,63,1.40,1.40,84,18,1,1,0,true,0,225,225,100.00,18,0
Contract_0x1929768c55da174c8e14838a12229392a663875d.evm_runtime,ok,103204,1980,98.99,false,,273,398,127,0.0054,7,71,1.46,1.46,115,25,1,1,0,true,0,273,273,100.00,33,0
Contract_0x1964f2f3ce45ac518b18ef4aa4265f8aadcef4ae.evm_runtime,ok,105456,1730,98.84,false,,183,252,71,0.0076,4,39,1.38,1.38,63,20,1,1,0,true,0,183,183,100.00,16,0
Contract_0x1977c795b5f52bf6f8150136b07822d1f00704f3.evm_runtime,ok,104540,1800,99.44,false,,284,392,110,0.0049,6,78,1.38,1.38,98,20,1,1,0,true,0,284,284,100.00,28,0
Contract_0x1983894a01de535f71e4d5e8919cafb049db6f25.evm_runtime,ok,77316,1230,99.19,false,,8,10,4,0.1786,2,2,1.25,1.25,3,3,1,1,0,false,0,8,8,100.00,3,0
Contract_0x19933559f653b193dd5f3d82685d5b04e726f5e9.evm_runtime,ok,111560,2210,99.55,false,,563,830,269,0.0026,19,65,1.47,1.47,174,87,1,1,0,true,0,563,563,100.00,25,0
Contract_0x199f7fcfae24c413897be8ab5477950847cd3f0f.evm_runtime,ok,104388,1880,98.94,false,,411,621,212,0.0037,19,124,1.51,1.51,176,35,1,1,0,true,0,411,411,100.00,19,0
Contract_0x19c5a48eba1f50d63054144c62ff11665c91e805.evm_runtime,ok,104676,1850,98.38,false,,192,267,77,0.0073,6,55,1.39,1.39,68,13,1,1,0,true,0,192,192,100.00,24,0
Contract_0x1C98ad0777973F879EB0Ca89fdD7c90Fc762bA5a.evm_runtime,ok,107108,1700,98.24,false,,131,186,57,0.0109,4,37,1.42,1.42,50,11,1,1,0,true,0,131,131,100.00,21,0
Contract_0x1DDCabB4FF6E0Bf552B034a0EC4aE399BBDB1F6F.evm_runtime,ok,101912,1600,98.12,false,,107,148,43,0.0130,4,21,1.38,1.38,40,16,1,1,0,true,0,107,107,100.00,16,0
Contract_0x1a0e82b03130b4fdf8cfba3c41dd7b5e3749ec96.evm_runtime,ok,43596,400,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1a41781a8ba04f5818c91f62a1ff7df5e6cffc38.evm_runtime,ok,207272,13290,99.77,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1a44e3774780af20657121a8abdd16272f2b388a.evm_runtime,ok,101540,1590,98.74,false,,99,135,38,0.0139,2,25,1.36,1.36,37,12,1,1,0,true,0,99,99,100.00,17,0
Contract_0x1a696C27be494BadDfa63A8ff1C37366F526c669.evm_runtime,ok,99132,1710,98.83,false,,73,102,31,0.0194,2,20,1.40,1.40,30,12,1,1,0,true,0,73,73,100.00,13,0
Contract_0x1adf9ba15cc8cdc65ff8461e161d74d95c9c4096.evm_runtime,ok,106968,1650,98.79,false,,123,169,48,0.0113,2,25,1.37,1.37,47,21,1,1,0,true,0,123,123,100.00,18,0
Contract_0x1b073382e63411e3bcffe90ac1b9a43fefa1ec6f.evm_runtime,ok,110784,1800,98.89,false,,197,278,83,0.0072,4,40,1.41,1.41,75,23,1,1,0,true,0,197,197,100.00,16,0
Contract_0x1b14e8d511c9a4395425314f849bd737baf8208f.evm_runtime,ok,98112,1740,98.85,false,,57,78,23,0.0244,2,21,1.37,1.37,22,3,1,1,0,false,0,57,57,100.00,14,0
Contract_0x1b73aea1875a0d603fd06cbc41f06d1eb2f9e3ce.evm_runtime,ok,213016,12260,99.76,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1b80c5d3a76176c7119558a6b4b250a6421e893b.evm_runtime,ok,102756,1620,99.38,false,,129,182,55,0.0110,2,50,1.41,1.41,54,5,1,1,0,false,0,129,129,100.00,18,0
Contract_0x1bE5d71F2dA660BFdee8012dDc58D024448A0A59.evm_runtime,ok,175412,7790,99.10,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1beCC315E044E8ee8898011609E63F8259d3B124.evm_runtime,ok,110784,2950,99.32,false,,245,345,102,0.0058,6,56,1.41,1.41,92,37,1,1,0,true,0,245,245,100.00,28,0
Contract_0x1c5361730f8579dfd8ac5ee1c93f4e182820f876.evm_runtime,ok,140456,3850,99.48,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1c7e265685914927925d6e930a809e942b538db3.evm_runtime,ok,102820,1850,98.38,false,,230,325,97,0.0062,2,83,1.41,1.41,96,12,1,1,0,true,0,230,230,100.00,30,0
Contract_0x1d5ad987b743eb624662fe5c62b8f6015554203a.evm_runtime,ok,107176,1680,98.81,false,,218,288,72,0.0061,8,42,1.32,1.32,56,15,1,1,0,true,0,218,218,100.00,23,0
Contract_0x1d9bb9efc11ce34cb16751ab35ba5a7a0a5e1a4a.evm_runtime,ok,103644,1880,98.40,false,,306,428,124,0.0046,7,98,1.40,1.40,113,15,1,1,0,true,0,306,306,100.00,33,0
Contract_0x1da73c1a17f136faf15a666b645dde92a608d809.evm_runtime,ok,106268,1800,98.89,false,,185,257,74,0.0076,4,55,1.39,1.39,70,15,1,1,0,true,0,185,185,100.00,25,0
Contract_0x1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce.evm_runtime,ok,108036,1670,99.40,false,,175,246,73,0.0081,7,54,1.41,1.41,67,13,1,1,0,true,0,175,175,100.00,22,0
Contract_0x1e0490cD098B40e61E3370489a0333F6c9e31467.evm_runtime,ok,103308,1640,98.78,false,,127,176,51,0.0110,2,32,1.39,1.39,50,18,1,1,0,true,0,127,127,100.00,36,0
Contract_0x1e51f9ba6898bcc9d63da95f5e1b483ef74b30d7.evm_runtime,ok,109248,1790,98.32,false,,146,202,58,0.0095,6,31,1.38,1.38,50,17,1,1,0,true,0,146,146,100.00,16,0
Contract_0x1f702f23d315b5aaf2c66eebb5aeea5e7af275c1.evm_runtime,ok,101340,1640,98.78,false,,97,138,43,0.0148,2,39,1.42,1.42,42,4,1,1,0,true,0,97,97,100.00,26,0
