sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x474b0b39f6558732c177dd459013a7ad1d6c55dc.evm,ok,126924,2930,96.93,false,0,105,100,117,14,0.0107,2,3,1.11,1.11,35,10,1,23,0,true,s_0,105,105,14,0,false,0.00,0
Contract_0x47809794073fcc29a03fa0d6d6ed39368edf3c44.evm,ok,235620,9310,99.57,false,1,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x47b2223eb33ba465abd6d4f9f2883c0932bc4b20.evm,ok,126776,2500,98.40,false,0,120,113,136,18,0.0095,2,3,1.13,1.13,48,15,1,32,0,true,s_0,120,120,18,0,false,0.00,0
Contract_0x47bef29a73f5af37ed666f9bda9aae1c554fc163.evm,ok,155488,4450,98.88,false,0,301,293,348,49,0.0039,2,7,1.16,1.16,132,25,1,85,0,true,s_0,301,301,38,0,false,0.00,0
Contract_0x47d9d899bFb70CC53634e0Cd7eEa105217aD1649.evm,ok,129208,2710,98.15,false,0,134,128,151,19,0.0085,2,3,1.13,1.13,52,16,1,35,0,true,s_0,134,134,22,0,false,0.00,0
Contract_0x484f804f80fb8dca7185da7ad62009ffdf07a933.evm,ok,132728,2840,98.94,false,0,144,144,147,5,0.0071,2,3,1.02,1.02,62,3,1,59,0,true,s_0,144,144,29,0,false,0.00,0
Contract_0x486f5f39fbc8f1b4f390e7bfd57c6990dbd59a61.evm,ok,118192,1990,97.99,false,0,58,58,64,8,0.0194,2,3,1.10,1.10,22,5,1,16,0,true,s_0,58,58,11,0,false,0.00,0
Contract_0x48778077c1d618699256a979cbd3324493552913.evm,ok,251696,13030,99.00,false,0,1017,519,1331,316,0.0013,2,28,1.31,1.31,491,86,1,177,0,false,s_0,1017,1017,96,0,false,0.00,0
Contract_0x4926865d7773504264f0c234851d159067ec7f12.evm,ok,173592,5600,98.39,false,0,458,321,576,120,0.0028,2,26,1.26,1.26,154,35,1,36,0,true,s_0,458,458,46,0,false,0.00,0
Contract_0x493c8d6a973246a7B26Aa8Ef4b1494867A825DE5.evm,ok,124940,2400,98.33,false,0,98,98,110,14,0.0116,2,3,1.12,1.12,37,11,1,25,0,true,s_0,98,98,17,0,false,0.00,0
Contract_0x496c67a4ced9c453a60f3166ab4b329870c8e355.evm,ok,163000,4470,98.43,false,0,385,201,508,125,0.0034,2,14,1.32,1.32,166,44,1,43,0,false,s_0,385,385,25,0,false,0.00,0
Contract_0x4980729f4db4649d1575e8579079a3e4d30f37cd.evm,ok,119668,1990,97.99,false,0,70,70,83,15,0.0172,2,3,1.19,1.19,27,12,1,14,0,true,s_0,70,70,13,0,false,0.00,0
Contract_0x499346e4232c392253f6f74aab0ae1f57825105f.evm,ok,203692,9200,98.80,false,0,578,483,662,86,0.0020,2,16,1.15,1.15,238,36,1,154,0,true,s_0,578,578,37,0,false,0.00,0
Contract_0x49d743dc7f0aafda02a736ecdcce174e9cae6261.evm,ok,156824,4320,98.61,false,0,341,332,361,22,0.0031,2,3,1.06,1.06,130,19,1,110,0,true,s_0,341,341,44,0,false,0.00,0
Contract_0x49e78ce9d811d59560827b78910d3fa65fa52ff3.evm,ok,151924,4030,98.51,false,0,276,267,295,21,0.0039,2,8,1.07,1.07,120,8,1,101,0,false,s_0,276,276,34,0,false,0.00,0
Contract_0x49f9b47af73c0e73ffd9fe0057e3fcb6e3ec4119.evm,ok,155812,3970,99.24,false,0,274,235,329,57,0.0044,2,13,1.20,1.20,121,35,1,66,0,true,s_0,274,274,48,0,false,0.00,0
Contract_0x4B9C13e932dE7597997D2F75e03616CBA5413511.evm,ok,125740,2400,98.33,false,0,96,96,99,5,0.0109,2,3,1.03,1.03,42,3,1,39,0,true,s_0,96,96,26,0,false,0.00,0
Contract_0x4C419396993fBE5fCf3d3B0e950E2C59B143E8e1.evm,ok,146284,2980,98.32,false,0,189,180,210,23,0.0059,2,6,1.11,1.11,68,12,1,47,0,false,s_0,189,189,22,0,false,0.00,0
Contract_0x4F391C202a906EED9e2b63fDd387F28E952782E2.evm,ok,157268,4460,98.65,false,0,338,338,359,23,0.0032,2,9,1.06,1.06,156,5,1,135,0,false,s_0,338,338,33,0,false,0.00,0
Contract_0x4F7ae048E2Ad7D41Ce0A5dC1e21e17c05F273E02.evm,ok,184756,7010,98.86,false,0,531,432,630,101,0.0022,2,9,1.19,1.19,196,68,1,97,0,true,s_0,531,531,70,0,false,0.00,0
Contract_0x4F8a351743cDF9293993d8a1DCdE747253EBF8FB.evm,ok,151356,3510,98.29,false,0,246,244,263,19,0.0044,2,4,1.07,1.07,93,13,1,76,0,true,s_0,246,246,38,0,false,0.00,0
Contract_0x4a545d2daaf639e144eadbd1906102cbbb7f5bf0.evm,ok,121640,2290,97.82,false,0,100,96,118,20,0.0119,2,7,1.18,1.18,41,11,1,23,0,true,s_0,100,100,19,0,false,0.00,0
Contract_0x4ab524df43bec3cb130024c5196db0915c61f40c.evm,ok,152052,4200,98.81,false,0,277,277,289,14,0.0038,2,3,1.04,1.04,114,11,1,102,0,true,s_0,277,277,33,0,false,0.00,0
Contract_0x4b3e82b8e548bbeae915f7c710d24f1afb25c140.evm,ok,162188,4620,98.70,false,0,420,391,482,64,0.0027,2,9,1.15,1.15,162,38,1,100,0,true,s_0,420,420,31,0,false,0.00,0
Contract_0x4b765ca2049a79ed70325e9074f16aacd9e63807.evm,ok,122708,2280,98.68,false,0,92,86,101,11,0.0121,2,6,1.10,1.10,31,4,1,22,0,false,s_0,92,92,17,0,false,0.00,0
Contract_0x4b7c9eace3d4e5fe951a68308e056d8cd857c183.evm,ok,192068,7480,97.86,false,0,746,421,926,182,0.0017,2,14,1.24,1.24,267,70,1,87,0,true,s_0,746,746,81,0,false,0.00,0
Contract_0x4b922507b808d3895c2213a2b4c4720756b4d9e0.evm,ok,150576,3400,97.06,false,0,203,176,243,42,0.0059,2,10,1.20,1.20,94,29,1,54,0,true,s_0,203,203,63,0,false,0.00,0
Contract_0x4bc9502c4F27c44D064C470A0EbddDe55a7972F4.evm,ok,112724,1680,98.21,false,0,35,35,39,6,0.0328,2,4,1.11,1.11,16,3,1,12,0,false,s_0,35,35,14,0,false,0.00,0
Contract_0x4c4c62a08eb49404ab85f3b4a0d6560488f2e216.evm,ok,144476,2900,98.28,false,0,153,153,168,17,0.0072,2,5,1.10,1.10,62,11,1,47,0,true,s_0,153,153,20,0,false,0.00,0
Contract_0x4c6584ddcdfab7110c7b1be47749bde8edc9c0c9.evm,ok,126064,2350,98.30,false,0,97,97,120,25,0.0129,2,7,1.24,1.24,41,15,1,18,0,true,s_0,97,97,17,0,false,0.00,0
Contract_0x4c8563be01a48f4e8520fba68f826010abacb6c6.evm,ok,151780,3820,98.69,false,0,268,267,296,30,0.0041,2,8,1.10,1.10,107,19,1,79,0,true,s_0,268,268,15,0,false,0.00,0
Contract_0x4d5d765cca7542bbf650a33f281029f2d5369a0e.evm,ok,130124,2550,98.43,false,0,47,47,49,4,0.0227,2,2,1.04,1.04,18,3,1,16,0,true,s_0,47,47,16,0,false,0.00,0
Contract_0x4db73e6dcd4065f17ff28515eebb7248ce1a6691.evm,ok,212164,11130,98.74,false,0,833,763,1029,198,0.0015,2,3,1.24,1.24,325,158,1,129,0,true,s_0,833,833,97,0,false,0.00,0
Contract_0x4f25e9710d006ccdce7d583492eab3d9ca24b3e3.evm,ok,125424,2430,99.18,false,0,105,100,117,14,0.0107,2,3,1.11,1.11,35,10,1,23,0,true,s_0,105,105,14,0,false,0.00,0
Contract_0x4f65C5F0F89BE0305Dd9F07FF9cD1390C614f21a.evm,ok,223372,6210,99.52,false,1,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x4f96fcfdde47ba20580bd3ea17d03e9b8d543a82.evm,ok,117288,1930,98.96,false,0,67,67,72,7,0.0163,2,3,1.07,1.07,29,5,1,24,0,true,s_0,67,67,14,0,false,0.00,0
Contract_0x4fdf373a61495ec20b6bf4d4f9e218cab8e10789.evm,ok,146996,3380,98.52,false,0,181,159,208,29,0.0064,2,8,1.15,1.15,63,16,1,36,0,true,s_0,181,181,17,0,false,0.00,0
Contract_0x4fff42650a1f0001214eb2f9a01a53d85bc18f60.evm,ok,158964,4750,98.32,false,0,349,233,414,67,0.0034,2,11,1.19,1.19,121,35,1,56,0,true,s_0,349,349,48,0,false,0.00,0
Contract_0x50668356cadfb5cae006c06ed16bcffc11524218.evm,ok,154036,3920,98.21,false,0,315,313,343,30,0.0035,2,9,1.09,1.09,124,20,1,96,0,true,s_0,315,315,18,0,false,0.00,0
