sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x09ab0089e07dec0ba71153cd818c44bd29562129.evm,ok,18832,10,0.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x09af99b655e39b0469782af86502694a1fbcf2be.evm,ok,18964,20,50.00,false,,184,202,20,0.0060,4,4,1.10,1.10,70,14,1,55,0,true,0,184,184,100.00,25,0
Contract_0x0B660D66b05a743Df3755058c2e63d5a5f2bA2F7.evm,ok,18904,20,50.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.evm,ok,18908,10,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0C4892Ce724698205a03AE8167436Bb39d5E4D9B.evm,ok,18972,20,0.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0CFF38783be6bfeC8B32c24d501B40874348e167.evm,ok,18980,10,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0addedfee0e8a65c9a60067b9fe0f24af96da51d.evm,ok,18968,10,0.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7.evm,ok,18852,10,0.00,false,,60,64,6,0.0181,6,3,1.07,1.07,20,8,5,20,4,true,0,56,60,93.33,14,4
Contract_0x0b71bb83d2814633f7dfeb9cb5c4c2e63be215ed.evm,ok,18968,10,100.00,false,,306,355,51,0.0038,9,9,1.16,1.16,131,30,1,93,0,true,0,306,306,100.00,26,0
Contract_0x0b79d476dac963bf4d342233ab129ab833077627.evm,ok,18968,10,0.00,false,,237,284,49,0.0051,2,12,1.20,1.20,105,29,1,58,0,true,0,237,237,100.00,18,0
Contract_0x0ba48bb1994b33c2563385f5b3e5d5daabbbf345.evm,fail,18968,10,0.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0bb4f50d431942986941a68721fe8b8f0b9fe051.evm,ok,18968,20,100.00,false,,430,467,39,0.0025,2,5,1.09,1.09,164,49,18,127,6,true,0,286,430,66.51,25,4
Contract_0x0c74f22130c985fa02e7105d6095fb782e9eb08c.evm,ok,18976,80,62.50,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.evm,ok,18988,10,100.00,false,,182,200,20,0.0061,4,4,1.10,1.10,69,14,1,54,0,true,0,182,182,100.00,25,0
Contract_0x0cb6f0a13f25afb4adef19736a7eb338dc52333e.evm,ok,18956,20,50.00,false,,538,645,109,0.0022,11,11,1.20,1.20,123,49,1,74,0,true,0,538,538,100.00,35,0
Contract_0x0d8fc15b6fefc278ff642861df51b45607330871.evm,ok,18980,20,50.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa.evm,ok,18848,10,100.00,false,,348,398,52,0.0033,5,11,1.14,1.14,157,27,1,111,0,true,0,348,348,100.00,44,0
Contract_0x0e26b2dc8ef577baf50891eac94f0def59b5da16.evm,fail,18960,20,50.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0e3f6315c57d300a33b16b566b4fc95404f895ba.evm,ok,18976,10,0.00,false,,85,98,15,0.0137,2,5,1.15,1.15,37,8,1,24,0,true,0,85,85,100.00,15,0
Contract_0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f.evm,ok,18852,20,50.00,false,,236,252,18,0.0045,2,3,1.07,1.07,83,17,4,67,1,true,0,233,236,98.73,38,1
Contract_0x0e852a82cb5f1dadc1715bfc17d4d5a9796120fb.evm,ok,18952,10,0.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0eb43ce1708f415dfb1734a3f69a89403011a4c1.evm,ok,18968,10,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0f4f45f2edba03d4590bd27cf4fd62e91a2a2d6a.evm,ok,18988,20,50.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0fe4f2398fc9d1186398461dff126130bef11a6e.evm,fail,18896,10,100.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x103675510a219bd84CE91d1bcb82Ca194D665a09.evm,fail,18972,20,50.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x10591b8e3e83cd9852172f022a5a70edfb66063d.evm,ok,18988,50,60.00,false,,638,830,194,0.0020,21,22,1.30,1.30,242,63,1,140,0,true,0,638,638,100.00,55,0
Contract_0x10753aeb1cFe93B257fa422c940668bbF765dAf3.evm,fail,18956,10,100.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa.evm,ok,18972,10,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x12028be581b6ab8e6be1bb67abd39298ccadd6d5.evm,ok,18968,10,0.00,false,,98,110,14,0.0116,2,3,1.12,1.12,37,11,1,25,0,true,0,98,98,100.00,17,0
Contract_0x12034f265c1dc4a0f638f55159ae184ea16a01eb.evm,ok,18848,10,0.00,false,,,,,,,,,,,,,,,,,,,,,,,
