sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x0fe4f2398fc9d1186398461dff126130bef11a6e.evm,ok,23572,30,66.67,false,0,413,413,520,111,0.0031,5,16,1.26,1.26,189,60,2,94,1,true,block_0x0000,413,413,49,0,false,0.00,579
Contract_0x103675510a219bd84CE91d1bcb82Ca194D665a09.evm,ok,35644,70,71.43,false,0,665,665,804,141,0.0018,5,20,1.21,1.21,310,68,1,187,0,true,block_0x0000,665,665,36,0,false,0.00,748
Contract_0x10591b8e3e83cd9852172f022a5a70edfb66063d.evm,ok,27244,30,66.67,false,0,463,463,580,119,0.0027,5,22,1.25,1.25,209,42,1,104,0,true,block_0x0000,463,463,61,0,false,0.00,638
Contract_0x10753aeb1cFe93B257fa422c940668bbF765dAf3.evm,ok,18460,20,50.00,false,0,280,280,370,94,0.0047,5,23,1.32,1.32,126,34,2,43,1,true,block_0x0000,280,280,27,0,false,0.00,339
Contract_0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa.evm,ok,16136,20,50.00,false,0,221,221,255,36,0.0052,5,9,1.15,1.15,100,12,1,71,0,true,block_0x0000,221,221,44,0,false,0.00,236
Contract_0x12028be581b6ab8e6be1bb67abd39298ccadd6d5.evm,ok,12628,20,0.00,false,0,99,99,115,18,0.0119,2,5,1.16,1.16,42,12,1,26,0,true,block_0x0000,99,99,17,0,false,0.00,98
Contract_0x12034f265c1dc4a0f638f55159ae184ea16a01eb.evm,ok,12944,10,0.00,false,0,155,155,189,36,0.0079,4,11,1.22,1.22,71,16,1,45,0,true,block_0x0000,155,155,21,0,false,0.00,173
Contract_0x1277009197F59600285D4e319700000000d94e73.evm,ok,12484,20,0.00,false,0,84,84,92,10,0.0132,2,3,1.10,1.10,34,7,1,26,0,true,block_0x0000,84,84,17,0,false,0.00,139
Contract_0x13110480c3c83ad103159ca239d82feb7a9b1a45.evm,ok,19244,20,50.00,false,0,352,352,394,44,0.0032,3,13,1.12,1.12,144,27,1,106,0,true,block_0x0000,352,352,36,0,false,0.00,358
Contract_0x131bea5c6679b9df528de29ba9b8f91ced3919af.evm,ok,13792,20,50.00,false,0,129,129,170,43,0.0103,5,9,1.32,1.32,50,19,1,15,0,true,block_0x0000,129,129,21,0,false,0.00,241
Contract_0x132a04f3f6196b499a7ed512c15e002d5dcefa9a.evm,ok,17564,20,100.00,false,0,198,198,256,60,0.0066,4,20,1.29,1.29,80,30,1,33,0,true,block_0x0000,198,198,40,0,false,0.00,451
Contract_0x135c573503f70dc290b1d60fe2e7f7eb114febd6.evm,ok,24132,40,75.00,false,0,478,478,567,91,0.0025,4,17,1.19,1.19,224,47,1,139,0,true,block_0x0000,478,478,53,0,false,0.00,524
Contract_0x13821c0129fb9e2cc16de2660783ff4e4861e92d.evm,ok,12496,10,0.00,false,0,76,76,108,34,0.0189,2,31,1.42,1.42,36,4,1,4,0,true,block_0x0000,76,76,35,0,false,0.00,76
Contract_0x144cc6eb227ab439effcfa4eb19704ec41065af6.evm,ok,13040,10,0.00,false,0,105,105,132,29,0.0121,4,11,1.26,1.26,42,18,1,20,0,true,block_0x0000,105,105,31,0,false,0.00,236
Contract_0x1457ef45c753e2675a409537250b66b3d0cadbad.evm,ok,15480,20,50.00,false,0,224,224,269,47,0.0054,5,14,1.20,1.20,96,16,1,58,0,true,block_0x0000,224,224,21,0,false,0.00,303
Contract_0x14e21d305238768bcf07ea985def1b808f4620c9.evm,ok,19896,20,50.00,false,0,273,273,312,41,0.0042,4,8,1.14,1.14,120,25,1,91,0,true,block_0x0000,273,273,25,0,false,0.00,712
