sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0xc642549743a93674cf38d6431f75d6443f88e3e2.evm,ok,49824,1230,99.19,false,,313,319,8,0.0033,2,3,1.02,1.02,127,9,5,121,4,true,"""0x0""",309,313,98.72,33,4
Contract_0xc6c8bce5e9383df025f982d6bbd84163957a6979.evm,timeout,0,0,0.00,true,1,,,,,,,,,,,,,,,,,,,,,,
Contract_0xc6e5e9c6f4f3d1667df6086e91637cc7c64a13eb.evm,ok,95192,5490,98.54,false,,424,638,216,0.0036,37,24,1.50,1.50,161,88,3,87,1,true,"""0x0""",422,424,99.53,38,1
Contract_0xc7665729dccff66f8f1b8676434f0ae4a9bfe511.evm,ok,42864,1520,96.71,false,,185,202,19,0.0059,4,4,1.09,1.09,70,14,2,56,1,true,"""0x0""",184,185,99.46,25,1
Contract_0xc800c56db86febe893de1a267d0ca3eb1a9f974b.evm,ok,122504,12320,98.94,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0xc892d744d1e3766772c36346a85d6fa06aa5f25d.evm,ok,40696,1170,100.00,false,,129,143,16,0.0087,2,3,1.11,1.11,50,14,2,36,1,true,"""0x0""",128,129,99.22,17,1
Contract_0xc8af9acb3d9b8827e863d416f740c7e97eb5a72f.evm,ok,33880,700,97.14,false,,50,50,2,0.0204,2,2,1.00,1.00,19,2,2,19,1,true,"""0x0""",49,50,98.00,15,1
Contract_0xc8c97d9B0aF219c2329a0179f6AB8C7a55B39fc1.evm,ok,67944,5800,99.66,false,,296,441,147,0.0051,11,18,1.49,1.49,126,37,2,67,1,true,"""0x0""",295,296,99.66,16,1
Contract_0xc8d119e6f23b8d88a5b82e711c2e7bd12b1ca0c4.evm,timeout,0,0,0.00,true,1,,,,,,,,,,,,,,,,,,,,,,
Contract_0xc8f1dc5f659238389afcf14372f72a84e60e664b.evm,ok,48512,2430,100.00,false,,184,256,74,0.0076,23,11,1.39,1.39,49,43,10,32,1,true,"""0x0""",163,184,88.59,25,1
Contract_0xc90851362c2e04bf51f72a0a5f0728cc2be035e7.evm,timeout,0,0,0.00,true,1,,,,,,,,,,,,,,,,,,,,,,
Contract_0xc924bcd807c57b06da8755039d953d3bdfb573a2.evm,ok,57292,4320,99.77,false,,375,426,53,0.0030,5,12,1.14,1.14,169,28,2,122,1,true,"""0x0""",374,375,99.73,44,1
Contract_0xc949fc82a15964fb5b97e5cf8f9ffed139086821.evm,ok,38808,1000,99.00,false,,114,134,22,0.0104,2,6,1.18,1.18,48,13,2,28,1,true,"""0x0""",113,114,99.12,15,1
Contract_0xc962ad021a69d457564e985738c719ae3f79b707.evm,ok,89584,4940,98.58,false,,278,473,197,0.0061,15,17,1.70,1.70,107,47,6,74,3,true,"""0x0""",273,278,98.20,25,3
Contract_0xc98c0485b255f7c39f5ca6a7d8f235c760adc633.evm,ok,40448,1200,99.17,false,,114,135,23,0.0105,6,4,1.18,1.18,48,18,2,33,1,true,"""0x0""",113,114,99.12,22,1
Contract_0xc9c61e5ec1b7e7af5ccb91b6431733de6d62cac3.evm,ok,59172,4080,99.75,false,,348,413,67,0.0034,8,7,1.19,1.19,155,45,2,104,1,true,"""0x0""",347,348,99.71,36,1
Contract_0xc9e44a07a4bf7205125471509c325d006066cfab.evm,ok,59844,4130,99.76,false,,357,424,69,0.0033,8,8,1.19,1.19,159,46,2,106,1,true,"""0x0""",356,357,99.72,36,1
Contract_0xcA13c064B7a5F3a8c763312a883499a10b2614Cc.evm,ok,95176,6110,99.84,false,,359,499,142,0.0039,13,9,1.39,1.39,132,60,9,86,1,true,"""0x0""",350,359,97.49,26,1
